i_8_2_6_MT_X,2,8,X,MT,6,BNBL,0.75,0.05,370,"((0.75, 370, 0.05),)"
i_8_2_6_MT_X,2,8,X,MT,6,GBNB,0.75,0.048,370,"((0.75, 370, 0.048),)"
i_8_2_6_MT_X,2,8,X,MT,6,BFS,0.75,0.075,637,"((0.75, 637, 0.075),)"
i_8_2_6_MT_X,2,8,X,MT,6,BNB,0.75,0.08,632,"((0.75, 632, 0.08),)"
i_8_2_6_MT_X,2,8,X,MT,6,DFS,0.75,0.08,652,"((0.75, 652, 0.08),)"
i_8_2_6_MT_X,2,8,X,MT,6,ASTAR,0.75,0.091,370,"((0.75, 370, 0.091),)"
i_8_2_7_MT_X,2,8,X,MT,7,BNBL,2.5,2.584,17932,"((2.5, 17932, 2.584),)"
i_8_2_7_MT_X,2,8,X,MT,7,BNB,2.5,3.208,19676,"((2.5, 19676, 3.208),)"
i_8_2_7_MT_X,2,8,X,MT,7,BFS,2.5,3.314,21838,"((2.5, 21838, 3.314),)"
i_9_1_10_MT_X,1,9,X,MT,10,GBNB,2.486,0.093,627,"((2.486, 627, 0.093),)"
i_9_1_10_MT_X,1,9,X,MT,10,BNB,2.486,0.124,521,"((2.486, 521, 0.124),)"
i_9_1_10_MT_X,1,9,X,MT,10,BNBL,2.486,0.138,511,"((2.486, 511, 0.138),)"
i_9_1_10_MT_X,1,9,X,MT,10,ASTAR,2.486,0.135,528,"((2.486, 528, 0.135),)"
i_9_1_10_MT_X,1,9,X,MT,10,BFS,2.486,0.148,682,"((2.486, 682, 0.148),)"
i_9_1_10_MT_X,1,9,X,MT,10,DFS,2.486,0.184,886,"((2.486, 886, 0.184),)"
i_9_1_8_FR_X,1,9,X,FR,8,BNBL,21.535,0.817,4441,"((21.535, 4441, 0.817),)"
i_9_1_8_FR_X,1,9,X,FR,8,GBNB,21.535,1.073,4551,"((21.535, 4551, 1.073),)"
i_9_1_8_FR_X,1,9,X,FR,8,ASTAR,21.535,1.39,4493,"((21.535, 4493, 1.39),)"
i_9_1_8_FR_X,1,9,X,FR,8,BNB,21.535,1.495,6063,"((21.535, 6063, 1.495),)"
